2022-11-17T14:50:25.305+09:00,zae,KeyEvent,65535:157:4,w8_2,Project,/Users/zae/IdeaProjects/w8_2/src/FilterCountDistinctTest.java,FilterCountDistinctTest::main,11,0,Default task
2022-11-17T14:50:25.481+09:00,zae,Action,$Copy,w8_2,Project,/Users/zae/IdeaProjects/w8_2/src/FilterCountDistinctTest.java,FilterCountDistinctTest::main,11,0,Default task
2022-11-17T14:50:25.498+09:00,zae,KeyEvent,99:67:4,w8_2,Project,/Users/zae/IdeaProjects/w8_2/src/FilterCountDistinctTest.java,FilterCountDistinctTest::main,11,0,Default task
2022-11-17T14:59:35.041+09:00,zae,Action,WelcomeScreen.CreateNewProject,,,,,-1,-1,
2022-11-17T14:59:36.686+09:00,zae,KeyEvent,56:56:0,,,,,-1,-1,
2022-11-17T14:59:36.893+09:00,zae,KeyEvent,65535:16:1,,,,,-1,-1,
2022-11-17T14:59:37.335+09:00,zae,Action,EditorBackSpace,,,,,-1,-1,
2022-11-17T14:59:37.339+09:00,zae,KeyEvent,8:8:0,,,,,-1,-1,
2022-11-17T14:59:37.439+09:00,zae,Action,EditorBackSpace,,,,,-1,-1,
2022-11-17T14:59:37.447+09:00,zae,KeyEvent,8:8:0,,,,,-1,-1,
2022-11-17T14:59:37.672+09:00,zae,KeyEvent,65535:20:0,,,,,-1,-1,
2022-11-17T14:59:37.720+09:00,zae,KeyEvent,65535:0:0,,,,,-1,-1,
2022-11-17T14:59:37.781+09:00,zae,KeyEvent,119:87:0,,,,,-1,-1,
2022-11-17T14:59:38.441+09:00,zae,KeyEvent,56:56:0,,,,,-1,-1,
2022-11-17T14:59:38.666+09:00,zae,KeyEvent,65535:16:1,,,,,-1,-1,
2022-11-17T14:59:38.789+09:00,zae,KeyEvent,95:523:1,,,,,-1,-1,
2022-11-17T14:59:39.021+09:00,zae,KeyEvent,51:51:0,,,,,-1,-1,
2022-11-17T14:59:39.219+09:00,zae,KeyEvent,10:10:0,,,,,-1,-1,
2022-11-17T14:59:41.339+09:00,zae,KeyEvent,65535:157:4,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:41.433+09:00,zae,Action,NewElement,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:41.459+09:00,zae,KeyEvent,110:78:4,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:41.769+09:00,zae,Action,NewClass,,,,,-1,-1,
2022-11-17T14:59:41.784+09:00,zae,KeyEvent,10:10:0,,,,,-1,-1,
2022-11-17T14:59:46.564+09:00,zae,KeyEvent,65535:16:1,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:46.728+09:00,zae,KeyEvent,77:77:1,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:47.054+09:00,zae,KeyEvent,97:65:0,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:47.139+09:00,zae,KeyEvent,112:80:0,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:47.873+09:00,zae,KeyEvent,65535:16:1,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:48.142+09:00,zae,KeyEvent,84:84:1,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:48.368+09:00,zae,KeyEvent,101:69:0,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:48.550+09:00,zae,KeyEvent,115:83:0,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:48.679+09:00,zae,KeyEvent,116:84:0,w8_3,Project,,,-1,-1,Default task
2022-11-17T14:59:49.099+09:00,zae,KeyEvent,10:10:0,,,,,-1,-1,
